
2025-11-05T17:54:13.832064,IBM,300.0,303.17,296.0,300.85,5677330,2025-11-04,304.73,-3.88,-1.2733%
2025-11-05T17:54:13.899678,TSLA,454.46,460.22,443.6,444.26,87756644,2025-11-04,468.37,-24.11,-5.1476%
2025-11-05T17:54:13.971089,AMZN,250.38,257.01,248.66,249.32,51546311,2025-11-04,254.0,-4.68,-1.8425%
2025-11-05T17:54:14.050022,META,628.035,641.7399,626.01,627.32,27356553,2025-11-04,637.71,-10.39,-1.6293%
2025-11-05T17:54:14.122908,ORCL,249.98,255.28,245.185,248.17,19772593,2025-11-04,257.85,-9.68,-3.7541%
2025-11-05T17:54:14.195855,KO,68.47,68.73,68.16,68.66,12743781,2025-11-04,67.97,0.69,1.0152%
2025-11-05T18:22:08.264467,AAPL,268.325,271.486,267.615,270.04,49274846,2025-11-04,269.05,0.99,0.3680%
2025-11-05T18:22:08.345331,MSFT,511.76,515.55,507.84,514.33,20958663,2025-11-04,517.03,-2.7,-0.5222%
2025-11-05T18:22:08.439318,GOOG,277.065,281.8336,276.865,278.06,18123709,2025-11-04,284.12,-6.06,-2.1329%
2025-11-05T18:22:08.531872,NVDA,203.0,203.9699,197.93,198.69,188919320,2025-11-04,206.88,-8.19,-3.9588%
2025-11-05T18:22:08.616952,IBM,300.0,303.17,296.0,300.85,5677330,2025-11-04,304.73,-3.88,-1.2733%
2025-11-05T18:22:08.705246,TSLA,454.46,460.22,443.6,444.26,87756644,2025-11-04,468.37,-24.11,-5.1476%
2025-11-05T18:22:08.796692,AMZN,250.38,257.01,248.66,249.32,51546311,2025-11-04,254.0,-4.68,-1.8425%
2025-11-05T18:22:08.900153,META,628.035,641.7399,626.01,627.32,27356553,2025-11-04,637.71,-10.39,-1.6293%
2025-11-05T18:22:08.984533,ORCL,249.98,255.28,245.185,248.17,19772593,2025-11-04,257.85,-9.68,-3.7541%
2025-11-05T18:22:09.065156,KO,68.47,68.73,68.16,68.66,12743781,2025-11-04,67.97,0.69,1.0152%
2025-11-05T18:47:26.804134,AAPL,268.325,271.486,267.615,270.04,49274846,2025-11-04,269.05,0.99,0.3680%
2025-11-05T18:47:26.879538,MSFT,511.76,515.55,507.84,514.33,20958663,2025-11-04,517.03,-2.7,-0.5222%
2025-11-05T18:47:26.949382,GOOG,277.065,281.8336,276.865,278.06,18123709,2025-11-04,284.12,-6.06,-2.1329%
2025-11-05T18:47:27.036910,NVDA,203.0,203.9699,197.93,198.69,188919320,2025-11-04,206.88,-8.19,-3.9588%
2025-11-05T18:47:27.126945,IBM,300.0,303.17,296.0,300.85,5677330,2025-11-04,304.73,-3.88,-1.2733%
2025-11-05T18:47:27.201069,TSLA,454.46,460.22,443.6,444.26,87756644,2025-11-04,468.37,-24.11,-5.1476%
2025-11-05T18:47:27.271659,AMZN,250.38,257.01,248.66,249.32,51546311,2025-11-04,254.0,-4.68,-1.8425%
2025-11-05T18:47:27.344153,META,628.035,641.7399,626.01,627.32,27356553,2025-11-04,637.71,-10.39,-1.6293%
2025-11-05T18:47:27.412440,ORCL,249.98,255.28,245.185,248.17,19772593,2025-11-04,257.85,-9.68,-3.7541%
2025-11-05T18:47:27.483412,KO,68.47,68.73,68.16,68.66,12743781,2025-11-04,67.97,0.69,1.0152%
